Stn Number,Latitude,Longitude,Elevation,First Year,Last Year,Number of Years,Stn Name
028008,-12.785,143.3047,18.5,2001,2011,11,LOCKHART RIVER AIRPORT
029009,-20.6717,140.5083,189,1953,1975,23,CLONCURRY AERO
029041,-17.6706,141.0672,8.4,1964,1999,36,NORMANTON POST OFFICE
029063,-17.6872,141.0733,18.4,2001,2011,11,NORMANTON AIRPORT
029127,-20.6778,139.4875,340.3,1967,2010,44,MOUNT ISA AERO
029130,-20.9542,139.5861,339,1970,1989,20,MIM RIFLE CREEK
029141,-20.6664,140.505,186,1997,2010,14,CLONCURRY AIRPORT
030014,-18.5189,144.0914,458,1965,2008,44,EINASLEIGH TOWNSHIP
030018,-18.2922,143.5483,291.7,1975,2008,34,GEORGETOWN POST OFFICE
030041,-20.8708,144.6,432.2,1966,1983,18,PRAIRIE POST OFFICE
030045,-20.7289,143.1425,211.1,1968,2011,44,RICHMOND POST OFFICE
030051,-20.7691,145.0211,465,1983,2011,29,TORRENS CREEK
030061,-18.6836,144.7446,512,1964,2011,48,CONJUBOY STATION
030082,-19.7037,144.3775,760,1972,2011,40,GREGORY SPRINGS STATION
030112,-18.8242,143.2531,309,1994,2006,13,NORTH HEAD
030140,-17.1536,144.5236,364,1968,2010,43,CHILLAGOE
030161,-20.7017,143.1167,206.3,1997,2012,16,RICHMOND AIRPORT
031011,-16.8736,145.7458,2.2,1942,2010,69,CAIRNS AERO
031016,-15.4633,145.25,6,1966,1987,22,COOKTOWN POST OFFICE
031017,-15.4486,145.1861,14,1987,2002,16,COOKTOWN MISSION STRIP
031034,-17.2186,145.565,717,1952,2011,60,KAIRI RESEARCH STATION
031046,-17.677,145.115,658,1972,2011,40,MT GARNET POST OFFICE
031053,-17.6069,145.4811,912,1969,2011,43,RAVENSHOE KURADILLA STREET
031055,-16.4728,145.3747,30,1917,1962,46,MOSSMAN SOUTH ALCHERA DRIVE
031066,-16.995,145.4253,400,1952,2002,51,MAREEBA QWRC
031083,-17.84,145.5956,760,1960,2010,51,KOOMBOOLOOMBA DAM
031204,-16.5261,145.4628,15,1996,2011,16,REEF PARK
031210,-17.0672,145.4283,471.9,2001,2010,10,MAREEBA AIRPORT
032004,-18.2544,146.0192,5,1972,2010,39,CARDWELL MARINE PDE
032021,-17.5167,146.0167,27,1961,1986,26,GOONDI MILL CSR
032037,-17.6053,145.9972,18.3,1969,2010,42,SOUTH JOHNSTONE EXP STN
032040,-19.2483,146.7661,4.3,1953,2011,59,TOWNSVILLE AERO
032042,-17.9364,145.9253,18.8,1972,2011,40,TULLY SUGAR MILL
032043,-18.7218,145.9237,62,1972,2010,39,UPPER STONE EXELBY
032050,-19.2033,146.6131,9,1990,2010,21,YABULU QLD NICKEL
032063,-19.1648,145.4199,384,1963,2010,48,BLUE RANGE
