Stn Number,Latitude,Longitude,Elevation (m AHD),First Year,Last Year,Number of Years,Stn Name
007081,-28.8928,117.1333,353,1906,2012,107,THUNDELARRA
007082,-27.1192,118.0842,476,1900,2010,111,TUCKANARRA
007083,-23.6239,118.6561,530,1920,2012,93,TUREE CREEK
007084,-23.48,116.1108,500,1895,2007,113,ULLAWARRA
007085,-27.8336,117.8792,450,1916,1999,84,WANARIE
007087,-28.0097,118.5753,450,1920,2007,88,WINDSOR
007088,-27.8058,116.5692,350,1923,1985,63,WOOGALONG
007089,-27.0878,116.1606,300,1895,2011,117,WOOLEEN
007090,-28.8439,117.8317,450,1904,2010,107,WYDGEE
007091,-28.3392,116.6828,318,1896,2011,116,YALGOO
007092,-26.3608,119.8233,500,1903,1974,72,YANDIL
007093,-25.5786,117.9931,500,1924,2008,85,YARLERWEELOR
007094,-24.6514,116.1647,299,1961,2012,52,YINNETHARRA
007095,-28.2322,117.6556,400,1898,2011,114,YOWERAGABBIE
007096,-27.9808,116.0347,300,1898,2011,114,YUIN
007097,-27.8608,118.4183,300,1909,2012,104,WONDINONG
007099,-27.1308,118.7803,450,1914,2011,98,YARRABUBBA
007100,-25.6933,118.0803,487,1902,2012,111,MOUNT PADBURY
007101,-26.2822,118.6933,500,1921,2011,91,MUNARRA
007103,-25.48,119.6492,600,1947,2012,66,NEDS CREEK
007105,-24.8094,118.1111,519,1955,2011,57,WOODLANDS
007106,-28.415,116.2833,350,1902,1982,81,WURARGA
007107,-27.1178,117.1175,450,1914,1995,82,NOONDIE 2
007111,-24.2008,116.475,350,1898,2005,108,COBRA STATION
007119,-23.3856,117.0319,250,1920,2012,93,ASHBURTON DOWNS
007123,-27.4375,118.9292,500,1936,1994,59,COGLA DOWNS
007129,-27.8036,116.8856,420,1910,2007,98,MELANGATA
007130,-26.0747,116.6942,500,1899,2011,113,MILLY MILLY
007132,-25.0964,117.5922,472,1921,2012,92,MOUNT CLERE
007134,-26.795,118.9842,500,1914,2011,98,MURCHISON DOWNS
007135,-28.2747,117.3919,350,1900,2007,108,MURRUM STATION
007139,-29.2708,117.6836,339,1919,2012,94,PAYNES FIND
007146,-28.3831,117.6817,400,1911,2008,98,WOGARNO
007149,-26.5942,118.4883,501,1964,2011,48,MEEKATHARRA
007151,-23.3683,119.7314,544,1965,2003,39,NEWMAN
007153,-23.5531,119.1478,620,1968,2011,44,PRAIRIE DOWNS
007154,-27.9369,118.1889,400,1912,2012,101,WYNYANGOO
007156,-27.9578,116.3383,400,1910,2010,101,TARDIE STATION
007157,-27.7744,117.0156,450,1913,2006,94,DALGARANGA
007159,-27.5486,118.2172,450,1967,2012,46,YARRAQUIN
007160,-26.2628,119.7639,500,1968,2011,44,PAROO
007161,-25.4628,117.1364,450,1936,2005,70,ERRABIDDY
007168,-29.0675,117.7572,400,1921,2006,86,OUDABUNNA
007169,-23.1017,119.3678,670,1971,2011,41,RHODES RIDGE
007176,-23.4169,119.7989,524,1971,2012,42,NEWMAN AERO
007177,-23.6042,117.6892,450,1964,2012,49,MININER
007179,-24.4114,118.9408,550,1960,2012,53,TANGADEE
007180,-25.0386,120.0064,600,1972,2011,40,MARYMIA
007185,-23.1725,117.7494,423.7,1974,2012,39,PARABURDOO AERO
007186,-25.565,116.6653,500,1969,2002,34,ERONG
007190,-29.3892,117.8281,335,1974,2011,38,MARANALGO
007193,-27.0503,117.6503,450,1982,2012,31,GLEN STATION
007195,-26.0794,116.1539,300,1898,2011,114,BYRO
007197,-28.2817,118.3111,400,1896,2012,117,CHALLA
008000,-27.9608,114.6339,210,1917,2011,95,AJANA
008001,-28.0603,114.9461,240,1926,2001,76,BALLA
008002,-30.5967,116.7714,300,1910,2012,103,BALLIDU
008003,-30.5922,116.9194,400,1930,1981,52,BALLIDU EAST
008004,-28.0058,114.2206,100,1930,2011,82,BALLINE
008005,-30.7294,116.02,200,1911,2012,102,BARBERTON
008007,-28.8956,115.8106,350,1958,2012,55,PINDAWA
008008,-30.5831,116.135,230,1907,2012,106,BERKSHIRE VALLEY
008009,-30.6286,116.3861,300,1929,2012,84,BINDI BINDI EAST
008010,-28.0403,114.675,260,1929,2012,84,BINNU
008012,-28.38,114.6706,140,1931,1992,62,BOWES
008013,-29.3303,116.1433,300,1904,2011,108,BOWGADA
008014,-30.2192,116.7783,300,1930,2012,83,DALWALLINU NORTH
008016,-30.445,117.0406,330,1913,2011,99,GLENFERRIE
008017,-29.9869,116.5711,320,1915,2012,98,BUNTINE
008018,-29.9331,116.7697,290,1929,2009,81,BUNTINE EAST
008019,-28.4375,115.1783,300,1922,1985,64,BUNYA BUNYA
008020,-28.9822,116.1683,350,1951,2003,53,SHELLEYVALE
008021,-30.0425,116.6981,320,1956,2011,56,SUNNYDALE
008022,-30.2911,116.3306,300,1959,2012,54,BALGERBINE
008023,-28.9,115.85,,1924,1973,50,CANNA 1
008025,-29.6889,115.8869,268,1887,2012,126,CARNAMAH
008026,-29.5833,116.3167,,1915,1972,58,CARON
008027,-28.5167,115.8,,1929,1968,40,PINDAR CHALLYMENDA
008028,-28.5008,114.7897,145,1905,2012,108,NABAWA
008032,-29.0975,116.15,400,1930,1984,55,BALMAHA
008033,-28.7031,115.8172,300,1929,2009,81,CLONTARF FARM
008034,-30.3,116.8,,1912,1959,48,COOARRA
008036,-30.4644,116.0372,200,1911,1997,87,COOMBERDALE
008037,-29.8819,116.0233,280,1912,2012,101,COOROW
008039,-30.2772,116.6619,335,1912,2012,101,DALWALLINU COMPARISON
008041,-27.9775,115.2103,250,1927,2001,75,DARTMOOR
008042,-28.09,115.145,240,1936,1981,46,YAMMA
008043,-29,116,,1912,1961,50,DINGLEY DELL
008044,-29.2528,114.9306,9,1884,2012,129,DONGARA
008045,-28.55,114.9,,1909,1961,53,DURAWAH
008046,-30.9133,116.8092,350,1906,2011,106,DUNOLLY
008047,-29.4714,115.8528,260,1919,2011,93,FAIRFIELD
008048,-29.3,116.2,,1912,1966,55,KARINGA
